,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
2,z,7,0.7940981388092041,0.4916067272424698,7149,7079,-105.0,2,0.008383371,0.00015764624,-0.006568593,86
3,z,7,0.7940981388092041,0.4916067272424698,7147,6950,-75.0,3,0.008420949,0.00044778438,-0.018657682,87
4,z,7,0.7940981388092041,0.4916067272424698,4011,3840,-45.0,4,0.011281162,0.0006979118,-0.029079657,88
5,z,7,0.7940981388092041,0.4916067272424698,1981,1900,-15.0,5,0.01604573,0.00066876074,-0.027865032,89
6,z,7,0.7940981388092041,0.4916067272424698,1794,1842,15.0,6,0.016581377,0.00042300628,0.017625261,90
7,z,7,0.7940981388092041,0.4916067272424698,3968,3976,45.0,7,0.011219668,3.2268603e-05,0.0013445251,91
8,z,7,0.7940981388092041,0.4916067272424698,6900,7238,75.0,8,0.008405909,0.0007660519,0.031918827,92
9,z,7,0.7940981388092041,0.4916067272424698,6883,7163,105.0,9,0.008434704,0.0006387557,0.02661482,93
10,z,7,0.7940981388092041,0.4916067272424698,8278,8382,135.0,10,0.0077472473,0.00020002661,0.008334442,94
11,z,7,0.7940981388092041,0.4916067272424698,14445,14481,165.0,11,0.0058797006,3.9878934e-05,0.0016616223,95
0,pt,0,0.20490924827754498,0.00048771032015793025,10385,10049,-165.0,0,0.006993887,0.0005268844,-0.021953516,0
1,pt,0,0.20490924827754498,0.00048771032015793025,7159,6921,-135.0,1,0.008425352,0.0005416313,-0.02256797,1
2,pt,0,0.20490924827754498,0.00048771032015793025,5236,5027,-105.0,2,0.009867389,0.0006525314,-0.027188808,2
3,pt,0,0.20490924827754498,0.00048771032015793025,5291,4961,-75.0,3,0.009867208,0.0010314181,-0.042975754,3
4,pt,0,0.20490924827754498,0.00048771032015793025,3499,3404,-45.0,4,0.012033937,0.00044097618,-0.018374007,4
5,pt,0,0.20490924827754498,0.00048771032015793025,3086,3050,-15.0,5,0.012765681,0.00018799512,-0.00783313,5
6,pt,0,0.20490924827754498,0.00048771032015793025,2780,2850,15.0,6,0.013325575,0.00039839977,0.01659999,6
7,pt,0,0.20490924827754498,0.00048771032015793025,3341,3452,45.0,7,0.01213014,0.0005235893,0.021816222,7
